id,time,gen2val,gen3val,ACE_part_for_gen2,ACE_part_for_gen3,set_point_for_gen2,set_point_for_gen3
1,0 days 16:32:02,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
2,0 days 16:32:02,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
3,0 days 16:32:07,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
4,0 days 16:32:12,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
5,0 days 16:32:17,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
6,0 days 16:32:22,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
7,0 days 16:32:27,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
8,0 days 16:32:32,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
9,0 days 16:32:37,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
10,0 days 16:32:42,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
11,0 days 16:32:47,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
12,0 days 16:32:52,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
13,0 days 16:32:57,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
14,0 days 16:33:02,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
15,0 days 16:33:07,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
16,0 days 16:33:12,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
17,0 days 16:33:17,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
18,0 days 16:33:22,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
19,0 days 16:33:27,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
20,0 days 16:33:32,71.6273,71.6275,72.2428,71.6273,71.6275,72.2428
21,0 days 16:33:37,38.3545,71.6275,73.3808,38.3545,71.6275,73.3808
22,0 days 16:33:42,40.3772,71.6275,74.98,40.3772,71.6275,74.98
23,0 days 16:33:47,40.7464,71.6275,76.5352,40.7464,71.6275,76.5352
24,0 days 16:33:52,40.9574,71.6275,78.0496,40.9574,71.6275,78.0496
25,0 days 16:33:57,72.3613,71.6275,78.2986,72.3613,71.6275,78.2986
26,0 days 16:34:02,72.7824,71.6275,78.2497,72.7824,71.6275,78.2497
27,0 days 16:34:07,72.7441,71.6275,78.196,72.7441,71.6275,78.196
28,0 days 16:34:12,72.7282,71.6275,78.1422,72.7282,71.6275,78.1422
29,0 days 16:34:17,72.7193,71.6275,78.0887,72.7193,71.6275,78.0887
